"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Lab","29656R","001","12:30-1:50pm","Monday","30","14","0","",""
"AME-460","Aerodynamic Theory","P","3.0 units","Lecture","28830R","001","9:30-10:50am","Tue, Thu","30","23","0","Larry Redekopp","ZHS360"
"AME-464L","Petroleum Reservoir Engineering","P","3.0 units","Lecture","32206D","001","3:30-6:10pm","Wednesday","35","20","0","Jincai Chang","KAP158"
"","","","","Lab","32210R","001","TBA","TBA","35","20","0","Jincai Chang","OFFICE"
"AME-481","Aircraft Design","","4.0 units","Lecture","28841R","001","3:30-6:10pm","Monday","40","29","0","Blaine Beron Rawdon, Zachary Hoisington, Hubert Wong","SSL150"
"","","","","Lab","28842R","001","7:00-10:00pm","Thursday","20","10","0","","SAL127"
"","","","","Lab","28843R","001","4:00-7:00pm","Thursday","20","19","0","","SAL127"
"AME-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","28850D","001","TBA","TBA","40","3","0","Geoffrey Spedding","OFFICE"
"AME-491","Undergraduate Design Projects II","C","1.0 units, max 4"
"","Human Powered Vehicle Project","","1.0","Lecture","28798D","001","5:00-6:20pm","Wednesday","25","5","0","Matthew Gilpin","GFS213"
"","Hyperloop Project","","1.0","Lecture","28799D","001","7:00-9:00pm","Wednesday","80","0","0","Geoffrey Spedding","SLH200"
"","Aerodesign Project","","1.0","Lecture","28858D","001","7:00-8:50pm","Monday","30","1","0","Charles Radovich","SSL150"
"","Formula SAE Project","","1.0","Lecture","28859D","001","5:00-6:20pm","Tuesday","30","7","0","Yann Staelens","GFS221"
"AME-499","Special Topics","","2.0-4.0 units, max 8"
"","Introduction to Computational Methods Programming with Wolfram Mathematica","","3.0","Lecture","28800R","001","10:00-11:50am","Mon, Wed","25","11","0","Inna Abramova","VHE214"
"AME-505","Engineering Information Modeling","","3.0 units","Lecture","28864R","048","6:40-9:20pm","Thursday","48","27","0","Yan Jin","RTH109"
"","","","","Lecture","29035D","034","6:40-9:20pm","Thursday","20","5","0","Yan Jin","DEN@Viterbi"
"AME-511","Compressible Gas Dynamics","","3.0 units","Lecture","28871R","048","6:40-9:20pm","Thursday","48","23","0","Veronica Eliasson","OHE132"
"","","","","Lecture","29041D","034","6:40-9:20pm","Thursday","20","6","0","Veronica Eliasson","DEN@Viterbi"
"AME-515","Advanced Problems in Heat Conduction","","3.0 units","Lecture","28877R","048","3:30-4:50pm","Mon, Wed","30","2","0","Satwindar Sadhal","OHE100B"
"","","","","Lecture","29047D","034","3:30-4:50pm","Mon, Wed","20","1","0","Satwindar Sadhal","DEN@Viterbi"
"AME-516","Convection Processes","P","3.0 units","Lecture","28882R","048","3:30-4:50pm","Tue, Thu","25","1","0","Charlie Campbell","OHE120"
"","","","","Lecture","29052D","034","3:30-4:50pm","Tue, Thu","20","1","0","Charlie Campbell","DEN@Viterbi"
"AME-525","Engineering Analysis","","3.0 units","Lecture","28885R","048","5:00-6:20pm","Tue, Thu","100","21","0","Oussama Safadi","OHE122"
"","","","","Lecture","29055D","034","5:00-6:20pm","Tue, Thu","35","7","0","Oussama Safadi","DEN@Viterbi"
"AME-526","Engineering Analytical Methods","","3.0 units","Lecture","28886R","048","5:00-6:20pm","Mon, Wed","82","63","0","Eva Kanso","OHE132"
"","","","","Lecture","29056D","034","5:00-6:20pm","Mon, Wed","30","18","0","Eva Kanso","DEN@Viterbi"
"AME-527","Elements of Vehicle and Energy Systems Design","C","3.0 units","Lecture","28887R","048","6:40-9:20pm","Wednesday","30","5","0","","RTH105"
"","","","","Lecture","29057D","034","6:40-9:20pm","Wednesday","15","0","0","","DEN@Viterbi"
"AME-529","Aircraft Structures Analysis","","3.0 units","Lecture","28890R","048","2:00-3:20pm","Tue, Thu","40","15","0","Oussama Safadi","OHE132"
"","","","","Lecture","29060D","034","2:00-3:20pm","Tue, Thu","30","12","0","Oussama Safadi","DEN@Viterbi"
"AME-530b","Dynamics of Incompressible Fluids","P","3.0 units","Lecture","28892R","048","12:30-1:50pm","Mon, Wed","40","11","0","Mitul Luhar","OHE100D"
"","","","","Lecture","29062D","034","12:30-1:50pm","Mon, Wed","20","3","0","Mitul Luhar","DEN@Viterbi"
"AME-532a","Flight Vehicle Stability and Control","","3.0 units","Lecture","28896R","048","6:40-9:20pm","Wednesday","25","0","0","","RTH109"
"","","","","Lecture","29066D","034","6:40-9:20pm","Wednesday","25","0","0","","DEN@Viterbi"
"AME-535b","Introduction to Computational Fluid Mechanics","P","3.0 units","Lecture","28899R","048","11:00-12:20pm","Mon, Wed","30","7","0","Julian Domaradzki","OHE100B"
"","","","","Lecture","29067D","034","11:00-12:20pm","Mon, Wed","20","4","0","Julian Domaradzki","DEN@Viterbi"
"AME-539","Multi-body Dynamics","","3.0 units","Lecture","28898R","048","2:00-3:20pm","Tue, Thu","35","5","0","Firdaus Udwadia","OHE100D"
"","","","","Lecture","29068D","034","2:00-3:20pm","Tue, Thu","15","4","0","Firdaus Udwadia","DEN@Viterbi"
