"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MDES-313","Modern Iran: Fall of Monarchies and Rise of Islamic Republic","","4.0 units","Lecture","41556R","001","9:30-10:50am","Tue, Thu","12","5","0","","SOS B51"
"MDES-316p","The Great Muslim Empires of the Near East and India","","4.0 units","Lecture","41551R","001","12:30-1:50pm","Tue, Thu","20","6","0","Hani Khafipour","VKC151"
"MDES-343g","Modern Arab State and Society II: Culture and Literature","","4.0 units","Lecture","41538R","001","2:00-3:20pm","Mon, Wed","20","5","0","Dina Jadallah","SOS B50"
"MDES-345p","Sovereignty in the Middle East","","4.0 units","Lecture","41541R","001","11:00-12:20pm","Tue, Thu","25","9","0","Dina Jadallah","WPH205"
"MDES-362","The International Relations of the Contemporary Middle East","","4.0 units","Lecture","37869R","001","3:30-6:20pm","Thursday","48","48","0","Fayez Hammad","SOS B44"
"MDES-363","Middle East Political Economy","","4.0 units","Lecture","37872R","001","2:00-3:20pm","Mon, Wed","48","21","0","Laurie Brand","VKC152"
"MDES-449","Multilingual Encounters","","4.0 units","Lecture","22055R","001","3:30-4:50pm","Tue, Thu","17","3","0","Veli Yashin","THH108"
