"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Lecture","30393R","001","11:00-12:20pm","Tue, Thu","60","60","0","Jeffrey Miller","ZHS252"
"","","","","Lab","29929R","001","3:30-5:20pm","Tuesday","30","21","0","","SAL109"
"","","","","Lab","29930R","001","10:00-11:50am","Wednesday","30","30","0","","SAL109"
"","","","","Lab","29931R","001","5:30-7:20pm","Tuesday","30","20","0","","SAL109"
"","","","","Lab","29990R","001","8:00-9:50am","Tuesday","30","4","0","","SAL109"
"","","","","Lab","30110R","001","8:00-9:50am","Wednesday","30","14","0","","SAL126"
"","","","","Lab","30380R","001","12:00-1:50pm","Wednesday","30","30","0","","SAL127"
"","","","","Quiz","29981R","001","7:00-8:50pm","Friday","180","119","0","","TBA"
"CSCI-270","Introduction to Algorithms and Theory of Computing","P","4.0 units","Lecture","30033R","001","5:30-6:50pm","Mon, Wed","80","16","0","Shaddin Dughmi","GFS116"
"","","","","Lecture","30009R","001","2:00-3:20pm","Mon, Wed","60","60","0","Leonard Adleman","SSL150"
"","","","","Lecture","30396R","001","3:30-4:50pm","Mon, Wed","70","51","0","Shaddin Dughmi","LVL17"
"","","","","Quiz","30224R","001","7:00-8:50pm","Wednesday","210","127","0","","TBA"
"CSCI-280","Video Game Production","","4.0 units","Lecture","31869R","001","6:00-8:50pm","Wednesday","30","9","0","Anthony Borquez","KAP267"
"","","","","Lab","31872R","001","1:00-2:50pm","Friday","23","6","0","","OHE542"
"","","","","Lab","31873R","001","3:00-4:50pm","Friday","23","3","0","","OHE542"
"CSCI-281","Pipelines for Games and Interactives","","3.0 units","Lecture","29982R","001","10:00-12:50pm","Monday","30","7","0","Scott Easley","EGG108"
"CSCI-310","Software Engineering","P","4.0 units","Lecture","29967R","001","10:00-11:50am","Mon, Wed","100","79","0","William Halfond","ZHS159"
"CSCI-350","Introduction to Operating Systems","P","4.0 units","Lecture","29964R","001","5:00-6:50pm","Tue, Thu","102","102","41","Michael Shindler","ZHS159"
"CSCI-352L","Computer Organization and Architecture","P","3.0 units","Lecture","30416R","001","8:00-9:20am","Tue, Thu","40","28","0","Mary Eshaghian","SSL150"
"","","","","Lecture","30677R","001","8:30-9:50am","Mon, Wed","40","40","0","Mary Eshaghian","LVL16"
"","","","","Lecture","31115R","001","7:30-8:20am","MWF","40","5","0","Mary Eshaghian","LVL16"
"","","","","Lab","30420R","001","12:00-12:50pm","Friday","40","29","0","","KAP146"
"","","","","Lab","30678R","001","9:00-9:50am","Friday","40","11","0","","KAP144"
"","","","","Lab","31117R","001","10:00-10:50am","Friday","40","33","0","","KAP144"
"CSCI-353","Introduction to Internetworking","P","4.0 units","Lecture","30050D","001","11:00-12:20pm","Tue, Thu","40","39","24","Alefiya Hussain","VHE217"
"","","","","Discussion","30051R","001","12:00-1:20pm","Friday","40","39","0","","KAP163"
"CSCI-360","Introduction to Artificial Intelligence","P","4.0 units","Lecture","30303R","001","3:30-5:20pm","Mon, Wed","35","35","1","Sven Koenig","THH212"
"","","","","Lecture","30304R","001","5:00-6:50pm","Wed, Fri","40","40","1","Wei-Min Shen","ZHS163"
"CSCI-380","Video Game Programming","P","4.0 units","Lecture-Lab","31908R","001","5:00-6:50pm","Tue, Thu","45","45","0","Sanjay Madhav","OHE540"
"CSCI-401","Capstone:Design and Construction of Large Software Systems","P","4.0 units","Lecture","29969R","001","10:00-11:50am","Mon, Wed","100","95","0","Jeffrey Miller","MHP106"
"CSCI-402","Operating Systems","P","4.0 units","Lecture","29945D","001","11:00-12:20pm","Tue, Thu","80","0","0","William Cheng","OHE132"
"","","","","Lecture","29971D","001","12:00-1:50pm","Mon, Wed","75","1","0","William Cheng","ZHS252"
"","","","","Lecture","30331D","001","9:30-10:50am","Tue, Thu","75","0","0","William Cheng","SOS B46"
"","","","","Discussion","30357R","001","10:00-10:50am","Friday","30","0","0","","OHE136"
