"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CHE-446","Mass Transfer in Chemical Engineering Processes","P","2.0 units","Lecture","29424D","001","8:00-9:50am","Wednesday","68","38","0","Ted Lee","SLH100"
"CHE-460L","Chemical Process Dynamics and Control","P","3.0 units","Lecture","29426D","001","2:00-3:20pm","Tue, Thu","69","45","0","Thomas Marlin","MHP106"
"","","","","Lab","29428R","001","4:00-5:50pm","Tue, Thu","69","45","0","","PCE104"
"CHE-464L","Petroleum Reservoir Engineering","P","3.0 units","Lecture","32206D","001","3:30-6:10pm","Wednesday","35","20","0","Jincai Chang","KAP158"
"","","","","Lab","32210R","001","TBA","TBA","35","20","0","Jincai Chang","OFFICE"
"CHE-475","Physical Properties of Polymers","","3.0 units","Lecture","29431D","001","4:00-6:50pm","Wednesday","30","0","0","","SGM226"
"CHE-476","Chemical Engineering Materials","P","3.0 units","Lecture","29430D","001","2:00-3:20pm","Mon, Wed","49","28","0","Jongseung Yoon","SGM601"
"CHE-480","Chemical Process and Plant Design","C","3.0 units","Lecture","29432D","001","6:30-9:10pm","Thursday","70","38","0","Robert Young","GFS116"
"CHE-489","Biochemical Engineering","P","3.0 units","Lecture","29434D","001","6:00-8:40pm","Wednesday","40","19","0","Pin Wang","VHE217"
"CHE-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","29436D","001","TBA","TBA","10","0","0","Richard Roberts","OFFICE"
"CHE-491","Nanotechnology Research for Undergraduates","PC","2.0 units, max 4","Lecture","29438D","001","TBA","TBA","15","3","0","Ted Lee","OFFICE"
"CHE-541","Mass Transfer","","3.0 units","Lecture","29490D","048","9:30-10:50am","Mon, Wed","60","25","0","Muhammad Sahimi","OFFICE"
"","","","","Lecture","29492D","034","9:30-10:50am","Mon, Wed","65","0","0","Muhammad Sahimi","DEN@Viterbi"
"CHE-542","Chemical Engineering Kinetics","","3.0 units","Lecture","29454D","048","12:30-1:50pm","Mon, Wed","50","11","0","Theo Tsotsis","OHE132"
"","","","","Lecture","29456D","034","12:30-1:50pm","Mon, Wed","5","1","0","Theo Tsotsis","DEN@Viterbi"
"CHE-544","Heat Transmission","","3.0 units","Lecture","29458D","001","6:40-9:20pm","Tuesday","80","36","0","Ali Mehrabi","OHE132"
"","","","","Lecture","29460D","001","6:40-9:30pm","Tuesday","50","0","0","Ali Mehrabi","DEN@Viterbi"
"CHE-550a","Seminars in Chemical Engineering","","0.0 units","Lecture","29462D","048","TBA","Thursday","55","1","0","Pin Wang","OFFICE"
"CHE-550b","Seminars in Chemical Engineering","","1.0 units, max 2","Lecture","29464D","048","12:30-1:50pm","Thursday","100","25","0","Pin Wang","ZHS159"
"CHE-590","Directed Research","","1.0-12.0 units","Lecture","29466D","048","TBA","TBA","25","3","0","Richard Roberts","OFFICE"
"CHE-594a","Master's Thesis","C","2.0 units","Lecture","29468D","048","TBA","TBA","10","1","0","Richard Roberts","OFFICE"
"CHE-594b","Master's Thesis","PC","2.0 units","Lecture","29470D","048","TBA","TBA","10","0","0","Richard Roberts","OFFICE"
"CHE-594z","Master's Thesis","PC","0.0 units","Lecture","29472D","048","TBA","TBA","10","1","0","Richard Roberts","OFFICE"
"CHE-690","Directed Research","","1.0-4.0 units, max 8","Lecture","29474D","048","TBA","TBA","10","0","0","Richard Roberts","OFFICE"
"CHE-790","Research","","1.0-12.0 units","Lecture","29476D","048","TBA","TBA","30","1","0","Richard Roberts","OFFICE"
"CHE-794a","Doctoral Dissertation","C","2.0 units","Lecture","29478D","048","TBA","TBA","10","0","0","Richard Roberts","OFFICE"
"CHE-794b","Doctoral Dissertation","PC","2.0 units","Lecture","29480D","048","TBA","TBA","5","1","0","Richard Roberts","OFFICE"
"CHE-794c","Doctoral Dissertation","PC","2.0 units","Lecture","29482D","048","TBA","TBA","10","1","0","Richard Roberts","OFFICE"
"CHE-794d","Doctoral Dissertation","PC","2.0 units","Lecture","29484D","048","TBA","TBA","10","0","0","Richard Roberts","OFFICE"
"CHE-794z","Doctoral Dissertation","PC","0.0 units","Lecture","29486D","048","TBA","TBA","10","0","0","Richard Roberts","OFFICE"
