"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Discussion","02663R","001","1:00-1:50pm","Wednesday","25","3","0","Samuel Erman","THH B9"
"","","","","Discussion","02664R","001","2:00-2:50pm","Wednesday","25","2","0","Samuel Erman","THH B9"
"","","","","Discussion","02665R","001","10:00-10:50am","Thursday","25","1","0","Samuel Erman","SOS B48"
"LING-115gw","Language and Society","","4.0 units","Lecture","38812R","001","8:30-9:50am","Mon, Wed","12","3","0","Sandra Disner","GFS101"
"","","","","Discussion","38813R","001","8:00-8:50am","Friday","25","0","0","",""
"","","","","Discussion","38814R","001","9:00-9:50am","Friday","25","0","0","",""
"","","","","Discussion","38815R","001","10:00-10:50am","Friday","25","1","0","","GFS221"
"","","","","Discussion","38816R","001","11:00-11:50am","Friday","25","2","0","","GFS221"
"","","","","Lecture","38837R","001","2:00-3:20pm","Mon, Wed","25","24","0","Mary Byram Washburn","ZHS159"
"","","","","Discussion","38844R","001","9:00-9:50am","Tuesday","25","5","0","","GFS221"
"","","","","Discussion","38846R","001","10:00-10:50am","Tuesday","25","10","0","","GFS221"
"","","","","Discussion","38848R","001","9:00-9:50am","Thursday","25","1","0","","GFS221"
"","","","","Discussion","38850R","001","10:00-10:50am","Thursday","25","8","0","","GFS221"
"","","","","Lecture","38948R","001","11:00-12:20pm","Tue, Thu","25","19","0","Mary Byram Washburn","ZHS159"
"","","","","Discussion","38932R","001","9:00-9:50am","Monday","25","1","0","","KAP166"
"","","","","Discussion","38933R","001","10:00-10:50am","Monday","25","6","0","","KAP166"
"","","","","Discussion","38934R","001","9:00-9:50am","Wednesday","25","2","0","","KAP166"
"","","","","Discussion","38935R","001","10:00-10:50am","Wednesday","25","10","0","","KAP166"
"SSCI-165Lgw","Sustainability Science in the City","","4.0 units","Lecture","35628R","001","11:00-11:50am","MWF","120","5","0","Robert Vos","THH202"
"","","","","Lab","35629R","001","8:00-9:50am","Monday","20","0","0","Laura Loyola","AHF145A"
"","","","","Lab","35630R","001","2:00-3:50pm","Monday","20","2","0","Laura Loyola","AHF145A"
"","","","","Lab","35631R","001","2:00-3:50pm","Wednesday","20","2","0","Laura Loyola","AHF145A"
"","","","","Lab","35632R","001","2:00-3:50pm","Thursday","20","0","0","Laura Loyola","AHF145A"
"","","","","Lab","35633R","001","10:00-11:50am","Thursday","20","1","0","Laura Loyola","AHF145A"
"","","","","Lab","35634R","001","8:00-9:50am","Friday","20","0","0","Laura Loyola","AHF145A"
"THTR-476mw","African American Theatre, Dance, and Performance","","4.0 units","Lecture","63178R","001","8:00-9:50am","Mon, Wed","20","10","0","Anita Dashiell-Sparks","KAP167"
"THTR-488mw","Theatre in the Community","","4.0 units","Lecture","63200R","001","12:00-1:50pm","Tue, Thu","30","8","0","Brent Blair","SHR105"
