"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Lecture","30478R","001","4:00-5:20pm","Mon, Wed","60","21","0","Gandhi Puvvada","GFS118"
"","","","","Lecture","30591R","001","2:00-3:20pm","Mon, Wed","110","22","0","Gandhi Puvvada","OHE122"
"","","","","Discussion","30497R","001","3:30-4:20pm","Thursday","76","30","0","","ZHS252"
"","","","","Discussion","30593R","001","12:00-12:50pm","Friday","110","12","0","","OHE122"
"","","","","Quiz","30997R","001","10:00-11:50am","Friday","150","38","0","","TBA"
"EE-459Lx","Embedded Systems Design Laboratory","PC","3.0 units","Lecture-Lab","30572D","001","9:30-10:50am","Tue, Thu","30","0","0","Allan Weber","VHE205"
"","","","","Lecture-Lab","30598D","001","2:00-3:20pm","Tue, Thu","20","20","0","Allan Weber","VHE205"
"EE-467","Introduction to Communication Systems","P","3.0 units","Lecture","30589R","001","3:30-4:50pm","Mon, Wed","28","19","0","Alan Willner","VHE206"
"EE-474","Introduction to Photonics","P","3.0 units","Lecture","31112R","001","11:00-12:20pm","Tue, Thu","20","0","0","",""
"EE-476","Chemical Engineering Materials","P","3.0 units","Lecture","29430D","001","2:00-3:20pm","Mon, Wed","49","28","0","Jongseung Yoon","SGM601"
"EE-477L","MOS VLSI Circuit Design","P","4.0 units","Lecture","30617D","014","9:00-11:50am","Friday","20","1","0","Ali Zadeh","DEN@Viterbi"
"","","","","Lab","30618D","014","5:10-7:10pm","Friday","20","1","0","","DEN@Viterbi"
"","","","","Lecture","30612R","001","9:00-11:50am","Friday","40","13","0","Ali Zadeh","OHE100B"
"","","","","Lab","30613R","001","5:10-7:10pm","Friday","20","5","0","","RTH109"
"","","","","Lab","30614R","001","5:00-6:50pm","Wednesday","30","8","0","",""
"EE-480","Introduction to Nanoscience and Nanotechnology","P","3.0 units","Lecture","30557R","001","2:00-3:20pm","Mon, Wed","40","3","0","Chongwu Zhou","VHE217"
"EE-481l","Control Systems Laboratory","P","3.0 units","Lecture","28819R","001","9:30-10:50am","Tuesday","99","29","0","Henryk Flashner","OHE122"
"","","","","Lab","28820R","001","1:00-4:50pm","Wednesday","50","20","0","Henryk Flashner","BHE310"
"","","","","Lab","28821R","001","9:00-12:50pm","Thursday","50","9","0","Henryk Flashner","BHE310"
"EE-483","Introduction to Digital Signal Processing","P","3.0 units","Lecture","30620R","001","9:30-10:50am","Tue, Thu","40","10","0","Justin Haldar","OHE100C"
"","","","","Discussion","30622R","001","5:00-5:50pm","Monday","40","10","0","","OHE100C"
"","","","","Lecture","30623D","014","9:30-10:50am","Tue, Thu","20","1","0","Justin Haldar","DEN@Viterbi"
"","","","","Discussion","30625R","014","5:00-5:50pm","Monday","20","1","0","","DEN@Viterbi"
"EE-484","Communication System Design","PC","3.0 units","Lecture","30628R","001","6:30-9:20pm","Monday","20","17","0","Christopher Walker","GFS111"
"EE-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","30624D","001","TBA","TBA","20","0","0","Sandeep Gupta, Eun Kim, Edward Maby","OFFICE"
"EE-501","Solid State","P","3.0 units","Lecture","32130R","048","3:30-4:50pm","Tue, Thu","41","5","0","Anupam Madhukar","VHE217"
"EE-503","Probability for Electrical and Computer Engineers","","4.0 units","Lecture","30475R","048","10:00-11:50am","Mon, Wed","35","34","0","Alexander Sawchuk","OHE122"
