"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CRIT-371","Art in the Public Realm: Contemporary Issues","","4.0 units","Lecture","33500R","001","9:00-11:50am","Mon, Wed","50","15","0","Rochelle Steiner","HAR101"
"CRIT-515","Visiting Artist and Scholar Seminar","","2.0 units, max 4","Lecture","33312D","001","7:00-8:20pm","Tuesday","22","7","0","Noura Wedell","HAR101, IFT109"
"CRIT-525","Making and Curating Art: Pedagogy and Praxis","","4.0 units","Lecture","33370D","001","2:00-5:10pm","Monday","16","6","0","Erin Silver","IFT115"
"CRIT-555","Methods of Curating: Introduction to Curatorial Practicum","","4.0 units","Lecture","33371D","001","10:00-12:50pm","Tuesday","16","6","0","Karen Familian","IFT109"
"CRIT-557","Curatorial Practicum: Group Project Summation","P","4.0 units","Lecture","33372D","001","TBA","TBA","16","0","0","","OFFICE"
"CRIT-591","Field Internship Experience","","1.0 units, max 2","Lecture","33360D","001","TBA","TBA","15","0","0","","OFFICE"
"CRIT-594b","Master's Thesis","","2.0 units","Lecture","33380D","001","TBA","TBA","20","1","0","","OFFICE"
